"plotID","siteID","plant_SR_400","plant_H_400","tree_SR_400","tree_H_400","CHM_nni_3_2512m2","pc_skew_DBH_2512m2","z_ent1_ent2_2512m2","z_1m_mode_mean_2512m2","pc_ent1_01_2512m2","z_cc_1_3_2512m2","MAT","AET","MTCM","alpha","TSeas","PSeas","latitude","longitude"
"BART_024","BART",13,0.614,2,0.538,-1.9966369707491,-0.905,1.67705542768253,18.943,0.914481642800058,0.993398263224452,61,742,127,15.2123292941011,9369.09910981981,9.33037567907132,44.052775,-71.263787
"BART_025","BART",28,1.469,7,1.435,-1.99924563088754,-0.455,1.80692871854308,15.783,0.920222722885375,0.992454117528938,60,739,129,14.4534303904097,9370.69732134893,9.33037567907132,44.059386,-71.313142
"BART_026","BART",22,1.378,5,1.072,-1.99050360221319,-0.834,1.79595808157692,16.599,0.932411149830356,0.988669892252847,60,739,129,14.4534303904097,9370.69732134893,9.33037567907132,44.061261,-71.313922
"BART_027","BART",15,1.211,3,0.589,-2.00356656558331,-1.11,1.66310173289255,19.942,0.857043612182893,0.994341636607249,61,742,127,15.2123292941011,9369.09910981981,9.33037567907132,44.057941,-71.261742
"BART_028","BART",20,1.498,4,0.775,-1.99138375715328,-0.375,1.75899823409603,16.306,0.932411149830356,0.985823813609932,63,744,126,15.9945301945935,9386.64387500345,9.33037567907132,44.054076,-71.306536
"BART_029","BART",22,1.326,NA,NA,-2.00528549315751,-0.332,1.83479925123941,19.591,0.879998700723923,0.995284233702655,70,749,120.5,18.4817037415452,9449.78407220894,9.33037567907132,44.058949,-71.289334
"BART_030","BART",14,1.548,NA,NA,-2.00097804179177,-0.313,1.78797341978733,16.501,0.92589319470939,0.992454117528938,63,744,126,15.9945301945935,9386.64387500345,9.33037567907132,44.053801,-71.308071
"BART_031","BART",18,1.452,NA,NA,-2.00356656558331,-0.953,1.75099962893276,20.003,0.915443101362593,0.996226050568607,63,744,126,15.9945301945935,9386.64387500345,9.33037567907132,44.055537,-71.305098
"BART_036","BART",18,0.321,6,1.352,-2.00528549315751,-0.536,1.81888383783582,16.54,0.924011288183341,0.997167083295687,70,749,120,18.4817037415452,9449.78407220894,9.33037567907132,44.062082,-71.285878
"BART_040","BART",44,2.429,9,1.893,-2.00614292400516,-0.614,1.80892222767635,18.263,0.930560084150991,0.997167083295687,71,751,120,18.4817037415452,9454.47797133714,9.33037567907132,44.06576,-71.29199
"BART_062","BART",8,0.073,NA,NA,-2.00184223107286,-0.354,1.78597655761171,18.283,0.920222722885375,0.996226050568607,55,734,129,13.0040864897546,9327.31860535828,9.33037567907132,44.05735,-71.308646
"BART_066","BART",19,1.512,NA,NA,-2.00270507309595,-0.939,1.62633189218945,19.583,0.894931476481438,0.996226050568607,55,734,132,13.0040864897546,9327.31860535828,9.33037567907132,44.056764,-71.310402
"BART_068","BART",20,0.924,NA,NA,-1.99924563088754,-0.319,1.63625183270234,14.415,0.898883265173787,0.996226050568607,55,734,132,13.0040864897546,9327.31860535828,9.33037567907132,44.052446,-71.309459
"BART_071","BART",33,1.22,NA,NA,-2.00356656558331,-0.3,1.78497802949984,15.323,0.929631139678761,0.997167083295687,73,751,118,19.3567559197581,9475.52878729763,9.33037567907132,44.067944,-71.290624
